Samples	labels
mutag_1	c0
mutag_2	c0
mutag_3	c0
mutag_4	c0
mutag_5	c0
mutag_6	c0
mutag_7	c0
mutag_8	c0
mutag_9	c0
mutag_10	c0
mutag_11	c0
mutag_12	c0
mutag_13	c0
mutag_14	c0
mutag_15	c0
mutag_16	c0
mutag_17	c0
mutag_18	c0
mutag_19	c0
mutag_20	c0
mutag_21	c0
mutag_22	c0
mutag_23	c0
mutag_24	c0
mutag_25	c0
mutag_26	c0
mutag_27	c0
mutag_28	c0
mutag_29	c0
mutag_30	c0
mutag_31	c0
mutag_32	c0
mutag_33	c0
mutag_34	c0
mutag_35	c0
mutag_36	c0
mutag_37	c0
mutag_38	c0
mutag_39	c0
mutag_40	c0
mutag_41	c0
mutag_42	c0
mutag_43	c0
mutag_44	c0
mutag_45	c0
mutag_46	c0
mutag_47	c0
mutag_48	c0
mutag_49	c0
mutag_50	c0
mutag_51	c0
mutag_52	c0
mutag_53	c0
mutag_54	c0
mutag_55	c0
mutag_56	c0
mutag_57	c0
mutag_58	c0
mutag_59	c0
mutag_60	c0
mutag_61	c0
mutag_62	c0
mutag_63	c0
mutag_64	c0
mutag_65	c0
mutag_66	c0
mutag_67	c0
mutag_68	c0
mutag_69	c0
mutag_70	c0
mutag_71	c0
mutag_72	c0
mutag_73	c0
mutag_74	c0
mutag_75	c0
mutag_76	c0
mutag_77	c0
mutag_78	c0
mutag_79	c0
mutag_80	c0
mutag_81	c0
mutag_82	c0
mutag_83	c0
mutag_84	c0
mutag_85	c0
mutag_86	c0
mutag_87	c0
mutag_88	c0
mutag_89	c0
mutag_90	c0
mutag_91	c0
mutag_92	c0
mutag_93	c0
mutag_94	c0
mutag_95	c0
mutag_96	c0
mutag_97	c0
mutag_98	c0
mutag_99	c0
mutag_100	c0
mutag_101	c0
mutag_102	c0
mutag_103	c0
mutag_104	c0
mutag_105	c0
mutag_106	c0
mutag_107	c0
mutag_108	c0
mutag_109	c0
mutag_110	c0
mutag_111	c0
mutag_112	c0
mutag_113	c0
mutag_114	c0
mutag_115	c0
mutag_116	c0
mutag_117	c0
mutag_118	c0
mutag_119	c0
mutag_120	c0
mutag_121	c0
mutag_122	c0
mutag_123	c0
mutag_124	c0
mutag_125	c0
mutag_126	c1
mutag_127	c1
mutag_128	c1
mutag_129	c1
mutag_130	c1
mutag_131	c1
mutag_132	c1
mutag_133	c1
mutag_134	c1
mutag_135	c1
mutag_136	c1
mutag_137	c1
mutag_138	c1
mutag_139	c1
mutag_140	c1
mutag_141	c1
mutag_142	c1
mutag_143	c1
mutag_144	c1
mutag_145	c1
mutag_146	c1
mutag_147	c1
mutag_148	c1
mutag_149	c1
mutag_150	c1
mutag_151	c1
mutag_152	c1
mutag_153	c1
mutag_154	c1
mutag_155	c1
mutag_156	c1
mutag_157	c1
mutag_158	c1
mutag_159	c1
mutag_160	c1
mutag_161	c1
mutag_162	c1
mutag_163	c1
mutag_164	c1
mutag_165	c1
mutag_166	c1
mutag_167	c1
mutag_168	c1
mutag_169	c1
mutag_170	c1
mutag_171	c1
mutag_172	c1
mutag_173	c1
mutag_174	c1
mutag_175	c1
mutag_176	c1
mutag_177	c1
mutag_178	c1
mutag_179	c1
mutag_180	c1
mutag_181	c1
mutag_182	c1
mutag_183	c1
mutag_184	c1
mutag_185	c1
mutag_186	c1
mutag_187	c1
mutag_188	c1
